"muni_id","municipalities","prov_id"
166,"La Pobla de Lillet                                                                                  ",8
167,"Polinyà                                                                                             ",8
168,"Pontons                                                                                             ",8
169,"El Prat de Llobregat                                                                                ",8
170,"Els Prats de Rei                                                                                    ",8
171,"Prats de Lluçanès                                                                                   ",8
172,"Premià de Mar                                                                                       ",8
173,"Puigdàlber                                                                                          ",8
174,"Puig-reig                                                                                           ",8
175,"Pujalt                                                                                              ",8
176,"La Quar                                                                                             ",8
177,"Rajadell                                                                                            ",8
178,"Rellinars                                                                                           ",8
179,"Ripollet                                                                                            ",8
180,"La Roca del Vallès                                                                                  ",8
181,"El Pont de Vilomara i Rocafort                                                                      ",8
182,"Roda de Ter                                                                                         ",8
183,"Rubí                                                                                                ",8
184,"Rubió                                                                                               ",8
185,"Sabadell                                                                                            ",8
186,"Sagàs                                                                                               ",8
187,"Sant Pere Sallavinera                                                                               ",8
188,"Saldes                                                                                              ",8
189,"Sallent                                                                                             ",8
190,"Santpedor                                                                                           ",8
191,"Sant Iscle de Vallalta                                                                              ",8
192,"Sant Adrià de Besòs                                                                                 ",8
193,"Sant Agustí de Lluçanès                                                                             ",8
194,"Sant Andreu de la Barca                                                                             ",8
195,"Sant Andreu de Llavaneres                                                                           ",8
196,"Sant Antoni de Vilamajor                                                                            ",8
197,"Sant Bartomeu del Grau                                                                              ",8
198,"Sant Boi de Llobregat                                                                               ",8
199,"Sant Boi de Lluçanès                                                                                ",8
200,"Sant Celoni                                                                                         ",8
201,"Sant Cebrià de Vallalta                                                                             ",8
202,"Sant Climent de Llobregat                                                                           ",8
203,"Sant Cugat del Vallès                                                                               ",8
204,"Sant Cugat Sesgarrigues                                                                             ",8
205,"Sant Esteve de Palautordera                                                                         ",8
206,"Sant Esteve Sesrovires                                                                              ",8
207,"Sant Fost de Campsentelles                                                                          ",8
208,"Sant Feliu de Codines                                                                               ",8
209,"Sant Feliu de Llobregat                                                                             ",8
210,"Sant Feliu Sasserra                                                                                 ",8
211,"Sant Fruitós de Bages                                                                               ",8
212,"Vilassar de Dalt                                                                                    ",8
213,"Sant Hipòlit de Voltregà                                                                            ",8
214,"Sant Jaume de Frontanyà                                                                             ",8
215,"Sant Joan Despí                                                                                     ",8
216,"Sant Joan de Vilatorrada                                                                            ",8
217,"Vilassar de Mar                                                                                     ",8
218,"Sant Julià de Vilatorta                                                                             ",8
219,"Sant Just Desvern                                                                                   ",8
220,"Sant Llorenç d'Hortons                                                                              ",8
221,"Sant Llorenç Savall                                                                                 ",8
222,"Sant Martí de Centelles                                                                             ",8
223,"Sant Martí d'Albars                                                                                 ",8
224,"Sant Martí de Tous                                                                                  ",8
225,"Sant Martí Sarroca                                                                                  ",8
226,"Sant Martí Sesgueioles                                                                              ",8
227,"Sant Mateu de Bages                                                                                 ",8
228,"Premià de Dalt                                                                                      ",8
229,"Sant Pere de Ribes                                                                                  ",8
230,"Sant Pere de Riudebitlles                                                                           ",8
231,"Sant Pere de Torelló                                                                                ",8
232,"Sant Pere de Vilamajor                                                                              ",8
233,"Sant Pol de Mar                                                                                     ",8
234,"Sant Quintí de Mediona                                                                              ",8
235,"Sant Quirze de Besora                                                                               ",8
236,"Sant Quirze del Vallès                                                                              ",8
237,"Sant Quirze Safaja                                                                                  ",8
238,"Sant Sadurní d'Anoia                                                                                ",8
239,"Sant Sadurní d'Osormort                                                                             ",8
240,"Marganell                                                                                           ",8
241,"Santa Cecília de Voltregà                                                                           ",8
242,"Santa Coloma de Cervelló                                                                            ",8
243,"Santa Coloma de Gramenet                                                                            ",8
244,"Santa Eugènia de Berga                                                                              ",8
245,"Santa Eulàlia de Riuprimer                                                                          ",8
246,"Santa Eulàlia de Ronçana                                                                            ",8
247,"Santa Fe del Penedès                                                                                ",8
248,"Santa Margarida de Montbui                                                                          ",8
249,"Santa Margarida i els Monjos                                                                        ",8
250,"Barberà del Vallès                                                                                  ",8
251,"Santa Maria de Besora                                                                               ",8
252,"L'Esquirol                                                                                          ",8
253,"Santa Maria de Merlès                                                                               ",8
254,"Santa Maria de Martorelles                                                                          ",8
255,"Santa Maria de Miralles                                                                             ",8
256,"Santa Maria d'Oló                                                                                   ",8
257,"Santa Maria de Palautordera                                                                         ",8
258,"Santa Perpètua de Mogoda                                                                            ",8
259,"Santa Susanna                                                                                       ",8
260,"Sant Vicenç de Castellet                                                                            ",8
261,"Sant Vicenç dels Horts                                                                              ",8
262,"Sant Vicenç de Montalt                                                                              ",8
263,"Sant Vicenç de Torelló                                                                              ",8
264,"Cerdanyola del Vallès                                                                               ",8
265,"Sentmenat                                                                                           ",8
266,"Cercs                                                                                               ",8
267,"Seva                                                                                                ",8
268,"Sitges                                                                                              ",8
269,"Sobremunt                                                                                           ",8
270,"Sora                                                                                                ",8
271,"Subirats                                                                                            ",8
272,"Súria                                                                                               ",8
273,"Tavèrnoles                                                                                          ",8
274,"Tagamanent                                                                                          ",8
275,"Talamanca                                                                                           ",8
276,"Taradell                                                                                            ",8
277,"Terrassa                                                                                            ",8
278,"Tavertet                                                                                            ",8
279,"Teià                                                                                                ",8
280,"Tiana                                                                                               ",8
281,"Tona                                                                                                ",8
282,"Tordera                                                                                             ",8
283,"Torelló                                                                                             ",8
284,"La Torre de Claramunt                                                                               ",8
285,"Torrelavit                                                                                          ",8
286,"Torrelles de Foix                                                                                   ",8
287,"Torrelles de Llobregat                                                                              ",8
288,"Ullastrell                                                                                          ",8
289,"Vacarisses                                                                                          ",8
290,"Vallbona d'Anoia                                                                                    ",8
291,"Vallcebre                                                                                           ",8
292,"Vallgorguina                                                                                        ",8
293,"Vallirana                                                                                           ",8
294,"Vallromanes                                                                                         ",8
295,"Veciana                                                                                             ",8
296,"Vic                                                                                                 ",8
297,"Vilada                                                                                              ",8
298,"Viladecavalls                                                                                       ",8
299,"Viladecans                                                                                          ",8
300,"Vilanova del Camí                                                                                   ",8
301,"Vilanova de Sau                                                                                     ",8
302,"Vilobí del Penedès                                                                                  ",8
303,"Vilafranca del Penedès                                                                              ",8
304,"Vilalba Sasserra                                                                                    ",8
305,"Vilanova i la Geltrú                                                                                ",8
306,"Viver i Serrateix                                                                                   ",8
307,"Rupit i Pruit                                                                                       ",8
308,"Vilanova del Vallès                                                                                 ",8
309,"Sant Julià de Cerdanyola                                                                            ",8
310,"Badia del Vallès                                                                                    ",8
311,"La Palma de Cervelló                                                                                ",8
312,"Agullana                                                                                            ",17
313,"Aiguaviva                                                                                           ",17
314,"Albanyà                                                                                             ",17
315,"Albons                                                                                              ",17
316,"El Far d'Empordà                                                                                    ",17
317,"Alp                                                                                                 ",17
318,"Amer                                                                                                ",17
319,"Anglès                                                                                              ",17
320,"Arbúcies                                                                                            ",17
321,"Argelaguer                                                                                          ",17
322,"L'Armentera                                                                                         ",17
323,"Avinyonet de Puigventós                                                                             ",17
324,"Begur                                                                                               ",17
325,"La Vajol                                                                                            ",17
326,"Banyoles                                                                                            ",17
327,"Bàscara                                                                                             ",17
328,"Bellcaire d'Empordà                                                                                 ",17
329,"Besalú                                                                                              ",17
330,"Bescanó                                                                                             ",17
331,"Beuda                                                                                               ",17
332,"La Bisbal d'Empordà                                                                                 ",17
333,"Blanes                                                                                              ",17
334,"Bolvir                                                                                              ",17
335,"Bordils                                                                                             ",17
336,"Borrassà                                                                                            ",17
337,"Breda                                                                                               ",17
338,"Brunyola                                                                                            ",17
339,"Boadella i les Escaules                                                                             ",17
340,"Cabanes                                                                                             ",17
341,"Cabanelles                                                                                          ",17
342,"Cadaqués                                                                                            ",17
343,"Caldes de Malavella                                                                                 ",17
344,"Calonge                                                                                             ",17
345,"Camós                                                                                               ",17
346,"Campdevànol                                                                                         ",17
347,"Campelles                                                                                           ",17
348,"Campllong                                                                                           ",17
349,"Camprodon                                                                                           ",17
350,"Canet d'Adri                                                                                        ",17
351,"Cantallops                                                                                          ",17
352,"Capmany                                                                                             ",17
353,"Queralbs                                                                                            ",17
354,"Cassà de la Selva                                                                                   ",17
355,"Castellfollit de la Roca                                                                            ",17
356,"Castelló d'Empúries                                                                                 ",17
357,"Castell-Platja d'Aro                                                                                ",17
358,"Celrà                                                                                               ",17
359,"Cervià de Ter                                                                                       ",17
360,"Cistella                                                                                            ",17
361,"Siurana                                                                                             ",17
362,"Colera                                                                                              ",17
