"code","regions","re_id","provinces","mun_id","municipalities","poblacion","v_census","t_votes","PP","PSOE","PODEMOS-IU-EQUO","Cs","ECP","PODEMOS-COMPROMÍS-EUPV","ERC-CATSÍ","CDC","PODEMOS-EN MAREA-ANOVA-EU","EAJ-PNV","EH Bildu","CCa-PNC","PACMA","RECORTES CERO-GRUPO VERDE","UPyD","VOX","BNG-NÓS","PCPE","GBAI","EB","FE de las JONS","SI","SOMVAL","CCD","SAIn","PH","CENTRO MODERADO","P-LIB","CCD-CI","UPL","PCOE","AND","JXC","PFyV","CILUS","PxC","MAS","IZAR","UNIDAD_DEL_PUEBLO","PREPAL","Ln","REPO","INDEPENDIENTES-FIA","ENTABAN","IMC","PUEDE","FE","ALCD","FME","HRTS-Ln","UDT","abs_rate","votes_rate","PP_per","PSOE_per","PODEMOS-IU-EQUO_per","Cs_per","ECP_per","PODEMOS-COMPROMÍS-EUPV_per","ERC-CATSÍ_per","CDC_per","PODEMOS-EN MAREA-ANOVA-EU_per","EAJ-PNV_per","EH Bildu_per","CCa-PNC_per","PACMA_per","RECORTES CERO-GRUPO VERDE_per","UPyD_per","VOX_per","BNG-NÓS_per","PCPE_per","GBAI_per","EB_per","FE de las JONS_per","SI_per","SOMVAL_per","CCD_per","SAIn_per","PH_per","CENTRO MODERADO_per","P-LIB_per","CCD-CI_per","UPL_per","PCOE_per","AND_per","JXC_per","PFyV_per","CILUS_per","PxC_per","MAS_per","IZAR_per","UNIDAD_DEL_PUEBLO_per","PREPAL_per","Ln_per","REPO_per","INDEPENDIENTES-FIA_per","ENTABAN_per","IMC_per","PUEDE_per","FE_per","ALCD_per","FME_per","HRTS-Ln_per","UDT_per"
5834,"Catalunya                     ",43,"Tarragona                     ",61,"Forès                                                                                               ",51,45,29,2,3,0,0,3,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64.44444444444444","64.44444444444444","6.896551724137931","10.344827586206897","0.0","0.0","10.344827586206897","0.0","20.689655172413794","51.724137931034484","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5835,"Catalunya                     ",43,"Tarragona                     ",62,"Freginals                                                                                           ",399,281,215,39,32,0,17,39,0,30,51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"76.51245551601423","76.51245551601423","18.13953488372093","14.883720930232558","0.0","7.906976744186046","18.13953488372093","0.0","13.953488372093023","23.72093023255814","0.0","0.0","0.0","0.0","2.3255813953488373","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5836,"Catalunya                     ",43,"Tarragona                     ",63,"La Galera                                                                                           ",770,557,349,77,34,0,4,69,0,63,91,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.65709156193896","62.65709156193896","22.063037249283667","9.742120343839542","0.0","1.146131805157593","19.770773638968482","0.0","18.05157593123209","26.07449856733524","0.0","0.0","0.0","0.0","0.5730659025787965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5837,"Catalunya                     ",43,"Tarragona                     ",64,"Gandesa                                                                                             ",3009,2015,1296,165,129,0,78,195,0,354,345,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64.31761786600497","64.31761786600497","12.731481481481483","9.953703703703704","0.0","6.018518518518518","15.046296296296296","0.0","27.314814814814813","26.620370370370374","0.0","0.0","0.0","0.0","0.4629629629629629","0.07716049382716049","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5838,"Catalunya                     ",43,"Tarragona                     ",65,"Garcia                                                                                              ",583,399,251,20,32,0,7,27,0,89,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.907268170426065","62.907268170426065","7.968127490039841","12.749003984063744","0.0","2.788844621513944","10.756972111553784","0.0","35.45816733067729","28.68525896414343","0.0","0.0","0.0","0.0","0.398406374501992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5839,"Catalunya                     ",43,"Tarragona                     ",66,"Els Garidells                                                                                       ",188,158,98,11,9,0,9,23,0,20,16,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.0253164556962","62.0253164556962","11.224489795918368","9.183673469387756","0.0","9.183673469387756","23.46938775510204","0.0","20.408163265306122","16.3265306122449","0.0","0.0","0.0","0.0","2.0408163265306123","2.0408163265306123","0.0","0.0","0.0","1.0204081632653061","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5840,"Catalunya                     ",43,"Tarragona                     ",67,"Ginestar                                                                                            ",802,552,393,27,48,0,5,47,0,167,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71.19565217391305","71.19565217391305","6.870229007633588","12.213740458015266","0.0","1.2722646310432568","11.959287531806616","0.0","42.49363867684479","23.155216284987276","0.0","0.0","0.0","0.0","1.5267175572519083","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5841,"Catalunya                     ",43,"Tarragona                     ",68,"Godall                                                                                              ",632,520,326,73,97,0,15,37,0,71,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.69230769230769","62.69230769230769","22.392638036809817","29.754601226993866","0.0","4.601226993865031","11.349693251533742","0.0","21.779141104294478","7.668711656441718","0.0","0.0","0.0","0.0","0.3067484662576687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5842,"Catalunya                     ",43,"Tarragona                     ",69,"Gratallops                                                                                          ",243,182,134,14,20,0,12,24,0,36,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73.62637362637363","73.62637362637363","10.44776119402985","14.925373134328357","0.0","8.955223880597014","17.91044776119403","0.0","26.865671641791046","18.65671641791045","0.0","0.0","0.0","0.0","1.4925373134328357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5843,"Catalunya                     ",43,"Tarragona                     ",70,"Els Guiamets                                                                                        ",277,238,191,14,18,0,6,33,0,79,34,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.25210084033614","80.25210084033614","7.329842931937172","9.424083769633508","0.0","3.1413612565445024","17.277486910994764","0.0","41.361256544502616","17.801047120418847","0.0","0.0","0.0","0.0","2.6178010471204187","0.5235602094240838","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
